Product ID,Product Name,Quantity Sold,Quantity In Hand
101,Wireless Earbuds,51,29
102,Phone Case (iPhone),80,50
103,Phone Case (Samsung),70,40
104,Screen Protector,90,60
105,Fast Charging Cable,100,70
106,Wireless Charger,40,20
107,Car Phone Holder,55,35
108,"Power Bank (10,000mAh)",85,40
109,Bluetooth Speaker,65,25
110,Smartwatch Strap,30,50
111,Gaming Triggers,25,30
112,USB-C to Lightning Adapter,45,20
113,Selfie Stick,60,35
114,Pop Socket,95,80
115,SIM Card Ejector Tool,20,100
116,Tablet Stand,40,20
117,Magnetic Car Mount,50,30
118,Wireless Keyboard,36,9
119,Phone Camera Lens Kit,35,25
120,VR Headset,21,9
